Buffer,Temperature,Time,Technical_rep,Detect_count
Ethanol,-20,2,1,9
Ethanol,-20,2,2,9
Ethanol,-20,2,3,9
Ethanol,-20,2,4,9
Ethanol,4,2,1,9
Ethanol,4,2,2,9
Ethanol,4,2,3,9
Ethanol,4,2,4,9
Frozen,-80,2,1,9
Frozen,-80,2,2,9
Frozen,-80,2,3,9
Frozen,-80,2,4,9
Frozen,-20,2,1,9
Frozen,-20,2,2,9
Frozen,-20,2,3,9
Frozen,-20,2,4,9
Longmires,4,2,1,7
Longmires,4,2,2,9
Longmires,4,2,3,9
Longmires,4,2,4,9
Longmires,RT,2,1,9
Longmires,RT,2,2,9
Longmires,RT,2,3,9
Longmires,RT,2,4,9
Ethanol,-20,4,1,9
Ethanol,-20,4,2,9
Ethanol,-20,4,3,9
Ethanol,-20,4,4,9
Ethanol,4,4,1,9
Ethanol,4,4,2,9
Ethanol,4,4,3,9
Ethanol,4,4,4,9
Frozen,-80,4,1,9
Frozen,-80,4,2,9
Frozen,-80,4,3,9
Frozen,-80,4,4,9
Frozen,-20,4,1,9
Frozen,-20,4,2,9
Frozen,-20,4,3,9
Frozen,-20,4,4,9
Longmires,4,4,1,7
Longmires,4,4,2,9
Longmires,4,4,3,9
Longmires,4,4,4,9
Longmires,RT,4,1,9
Longmires,RT,4,2,9
Longmires,RT,4,3,9
Longmires,RT,4,4,9
Ethanol,-20,8,1,9
Ethanol,-20,8,2,9
Ethanol,-20,8,3,9
Ethanol,-20,8,4,9
Ethanol,4,8,1,9
Ethanol,4,8,2,9
Ethanol,4,8,3,9
Ethanol,4,8,4,9
Frozen,-80,8,1,9
Frozen,-80,8,2,9
Frozen,-80,8,3,9
Frozen,-80,8,4,9
Frozen,-20,8,1,9
Frozen,-20,8,2,9
Frozen,-20,8,3,9
Frozen,-20,8,4,9
Longmires,4,8,1,8
Longmires,4,8,2,9
Longmires,4,8,3,9
Longmires,4,8,4,9
Longmires,RT,8,1,9
Longmires,RT,8,2,6
Longmires,RT,8,3,7
Longmires,RT,8,4,5
Ethanol,-20,17,1,9
Ethanol,-20,17,2,9
Ethanol,-20,17,3,9
Ethanol,4,17,1,9
Ethanol,4,17,2,9
Ethanol,4,17,3,9
Frozen,-80,17,1,9
Frozen,-80,17,2,9
Frozen,-80,17,3,9
Frozen,-20,17,1,9
Frozen,-20,17,2,9
Frozen,-20,17,3,9
Longmires,4,17,1,4
Longmires,4,17,2,8
Longmires,4,17,3,8
Longmires,4,17,4,6
Longmires,RT,17,1,9
Longmires,RT,17,2,8
Longmires,RT,17,3,9
Longmires,RT,17,4,9
Ethanol,-20,26,1,9
Ethanol,-20,26,2,9
Ethanol,-20,26,3,9
Ethanol,4,26,1,9
Ethanol,4,26,2,9
Ethanol,4,26,3,9
Frozen,-80,26,1,9
Frozen,-80,26,2,9
Frozen,-80,26,3,9
Frozen,-20,26,1,9
Frozen,-20,26,2,9
Frozen,-20,26,3,9
Longmires,4,26,1,9
Longmires,4,26,2,9
Longmires,4,26,3,9
Longmires,4,26,4,9
Longmires,RT,26,1,9
Longmires,RT,26,2,9
Longmires,RT,26,3,9
Longmires,RT,26,4,9
Ethanol,-20,35,1,9
Ethanol,-20,35,2,9
Ethanol,-20,35,3,9
Ethanol,4,35,1,9
Ethanol,4,35,2,9
Ethanol,4,35,3,9
Frozen,-80,35,1,9
Frozen,-80,35,2,9
Frozen,-80,35,3,9
Frozen,-20,35,1,9
Frozen,-20,35,2,9
Frozen,-20,35,3,9
Longmires,4,35,1,9
Longmires,4,35,2,9
Longmires,4,35,3,9
Longmires,4,35,4,8
Longmires,RT,35,1,9
Longmires,RT,35,2,9
Longmires,RT,35,3,9
Longmires,RT,35,4,9
Ethanol,-20,43,1,9
Ethanol,-20,43,2,9
Ethanol,-20,43,3,9
Ethanol,4,43,1,9
Ethanol,4,43,2,9
Ethanol,4,43,3,9
Frozen,-80,43,1,9
Frozen,-80,43,2,9
Frozen,-80,43,3,9
Frozen,-20,43,1,9
Frozen,-20,43,2,9
Frozen,-20,43,3,9
Longmires,4,43,1,9
Longmires,4,43,2,9
Longmires,4,43,3,9
Longmires,4,43,4,9
Longmires,RT,43,1,9
Longmires,RT,43,2,9
Longmires,RT,43,3,9
Longmires,RT,43,4,9
Ethanol,-20,52,1,9
Ethanol,-20,52,2,9
Ethanol,-20,52,3,9
Ethanol,-20,52,4,9
Ethanol,4,52,1,9
Ethanol,4,52,2,9
Ethanol,4,52,3,9
Ethanol,4,52,4,9
Frozen,-80,52,1,9
Frozen,-80,52,2,9
Frozen,-80,52,3,9
Frozen,-80,52,4,9
Frozen,-20,52,1,9
Frozen,-20,52,2,9
Frozen,-20,52,3,9
Frozen,-20,52,4,9
Longmires,4,52,1,9
Longmires,4,52,2,9
Longmires,4,52,3,9
Longmires,4,52,4,9
