Plate,Well,Buffer,Temperature,Time_Factor,Time_Cont,Extraction,Technical_rep,PCR_rep,qs_conc_pg/mL,qs_conc_adjusted,Eamc_sample,Cq_sample,No_standard,Eamc_standard,Cq_standard,No_sample_ng/ul,No_sample_pg/mL
9 eDNA Pres I,A4,Immediate,na,24 hours,0,Kit,1,1,5243.24086,5243.24086,1.768,31.048,1.14,1.752,22.512,0.007147073,7147.072763
9 eDNA Pres I,A5,Immediate,na,24 hours,0,Kit,1,2,6049.44862,6049.44862,1.7,30.69,1.14,1.752,22.512,0.029101279,29101.27919
9 eDNA Pres I,A6,Immediate,na,24 hours,0,Kit,1,3,6273.64963,6273.64963,1.731,30.687,1.14,1.752,22.512,0.01673179,16731.79022
9 eDNA Pres I,B4,Immediate,na,24 hours,0,Kit,1,4,6254.75449,6254.75449,1.736,30.709,1.14,1.752,22.512,0.015125629,15125.62876
9 eDNA Pres I,B5,Immediate,na,24 hours,0,Kit,1,5,6525.20917,6525.20917,1.742,30.601,1.14,1.752,22.512,0.014527487,14527.48665
9 eDNA Pres I,B6,Immediate,na,24 hours,0,Kit,1,6,5395.22152,5395.22152,1.75,30.953,1.14,1.752,22.512,0.01035701,10357.01023
9 eDNA Pres I,C4,Immediate,na,24 hours,0,Kit,1,7,6525.08531,6525.08531,1.742,30.561,1.14,1.752,22.512,0.014840559,14840.55888
9 eDNA Pres I,C5,Immediate,na,24 hours,0,Kit,1,8,6270.13762,6270.13762,1.767,30.791,1.14,1.752,22.512,0.008430595,8430.594938
9 eDNA Pres I,C6,Immediate,na,24 hours,0,Kit,1,9,5864.78319,5864.78319,1.716,30.765,1.14,1.752,22.512,0.02127392,21273.92034
9 eDNA Pres I,D4,Immediate,na,24 hours,0,Kit,2,1,46882.35372,46882.35372,1.754,27.447,1.14,1.752,22.512,0.069898813,69898.81327
9 eDNA Pres I,D5,Immediate,na,24 hours,0,Kit,2,2,43536.10054,43536.10054,1.764,27.578,1.14,1.752,22.512,0.054844374,54844.37439
9 eDNA Pres I,D6,Immediate,na,24 hours,0,Kit,2,3,40655.43041,40655.43041,1.745,27.73,1.14,1.752,22.512,0.068573816,68573.81571
9 eDNA Pres I,E4,Immediate,na,24 hours,0,Kit,2,4,35960.00746,35960.00746,1.729,27.875,1.14,1.752,22.512,0.081944862,81944.86245
9 eDNA Pres I,E5,Immediate,na,24 hours,0,Kit,2,5,41839.24198,41839.24198,1.793,27.704,1.14,1.752,22.512,0.032717349,32717.34904
9 eDNA Pres I,E6,Immediate,na,24 hours,0,Kit,2,6,40163.46112,40163.46112,1.733,27.606,1.14,1.752,22.512,0.088276714,88276.71381
9 eDNA Pres I,F4,Immediate,na,24 hours,0,Kit,2,7,37647.44103,37647.44103,1.737,27.818,1.14,1.752,22.512,0.073857527,73857.52659
9 eDNA Pres I,F5,Immediate,na,24 hours,0,Kit,2,8,41162.87082,41162.87082,1.707,27.545,1.14,1.752,22.512,0.137906675,137906.6749
9 eDNA Pres I,F6,Immediate,na,24 hours,0,Kit,2,9,38150.06837,38150.06837,1.753,27.839,1.14,1.752,22.512,0.056590237,56590.23691
9 eDNA Pres I,F1,Immediate,na,24 hours,0,Kit,3,1,53221.68022,53221.68022,1.799,27.423,1.14,1.752,22.512,0.035327602,35327.60225
9 eDNA Pres I,F2,Immediate,na,24 hours,0,Kit,3,2,56889.63458,56889.63458,1.76,27.215,1.14,1.752,22.512,0.071633507,71633.50732
9 eDNA Pres I,F3,Immediate,na,24 hours,0,Kit,3,3,85075.19215,85075.19215,1.845,26.737,1.14,1.752,22.512,0.026638211,26638.21063
9 eDNA Pres I,G2,Immediate,na,24 hours,0,Kit,3,4,61687.13048,61687.13048,1.793,27.123,1.14,1.752,22.512,0.045600387,45600.38713
9 eDNA Pres I,G3,Immediate,na,24 hours,0,Kit,3,5,59771.65326,59771.65326,1.771,27.133,1.14,1.752,22.512,0.063952538,63952.53838
9 eDNA Pres I,G4,Immediate,na,24 hours,0,Kit,3,6,63661.87334,63661.87334,1.763,27.054,1.14,1.752,22.512,0.075129682,75129.68188
9 eDNA Pres I,G5,Immediate,na,24 hours,0,Kit,3,7,64205.36339,64205.36339,1.776,27.069,1.14,1.752,22.512,0.060795242,60795.24175
9 eDNA Pres I,G6,Immediate,na,24 hours,0,Kit,3,8,61106.15283,61106.15283,1.822,27.028,1.14,1.752,22.512,0.031190634,31190.63387
9 eDNA Pres I,G7,Immediate,na,24 hours,0,Kit,3,9,63560.91052,63560.91052,1.768,27.064,1.14,1.752,22.512,0.069103212,69103.21222
9 eDNA Pres I,H1,Immediate,na,24 hours,0,Kit,4,1,51353.87927,51353.87927,1.781,27.472,1.14,1.752,22.512,0.044955528,44955.52768
9 eDNA Pres I,H2,Immediate,na,24 hours,0,Kit,4,2,52583.14684,52583.14684,1.756,27.284,1.14,1.752,22.512,0.073204767,73204.76747
9 eDNA Pres I,H3,Immediate,na,24 hours,0,Kit,4,3,60187.75702,60187.75702,1.711,27.036,1.14,1.752,22.512,0.171324235,171324.2354
