Plate,Well,Buffer,Temperature,Time,Extraction,QS_conc (pg/mL),Technical_rep,PCR_rep
Pres Exp 3_Plate 2,H1,Ethanol,-20,1,Kit,1395.48,1,1
Pres Exp 3_Plate 2,H2,Ethanol,-20,1,Kit,1908.28,1,2
Pres Exp 3_Plate 2,H3,Ethanol,-20,1,Kit,1241.16,1,3
Pres Exp 3_Plate 2,H4,Ethanol,-20,1,Kit,1423.02,1,4
Pres Exp 3_Plate 2,H5,Ethanol,-20,1,Kit,1485.65,1,5
Pres Exp 3_Plate 2,H6,Ethanol,-20,1,Kit,1214.49,1,6
Pres Exp 3_Plate 2,G8,Ethanol,-20,1,Kit,1342.37,2,1
Pres Exp 3_Plate 2,G9,Ethanol,-20,1,Kit,1475.12,2,2
Pres Exp 3_Plate 2,G10,Ethanol,-20,1,Kit,1197.91,2,3
Pres Exp 3_Plate 2,H7,Ethanol,-20,1,Kit,1374.25,2,4
Pres Exp 3_Plate 2,H8,Ethanol,-20,1,Kit,1764.49,2,5
Pres Exp 3_Plate 2,H9,Ethanol,-20,1,Kit,1333.57,2,6
Pres Exp 3_Plate 2,C10,Ethanol,-20,1,Kit,2139.38,3,1
Pres Exp 3_Plate 2,C11,Ethanol,-20,1,Kit,1776.42,3,2
Pres Exp 3_Plate 2,C12,Ethanol,-20,1,Kit,1781.92,3,3
Pres Exp 3_Plate 2,D10,Ethanol,-20,1,Kit,2272.62,3,4
Pres Exp 3_Plate 2,D11,Ethanol,-20,1,Kit,2039.01,3,5
Pres Exp 3_Plate 2,D12,Ethanol,-20,1,Kit,2247.59,3,6
Pres Exp 3_Plate 2,B11,Ethanol,-20,1,Kit,839.58,4,1
Pres Exp 3_Plate 2,B12,Ethanol,-20,1,Kit,566.99,4,2
Pres Exp 3_Plate 2,E10,Ethanol,-20,1,Kit,1315.13,4,3
Pres Exp 3_Plate 2,E11,Ethanol,-20,1,Kit,1122.16,4,4
Pres Exp 3_Plate 2,E12,Ethanol,-20,1,Kit,862.84,4,5
Pres Exp 3_Plate 2,F11,Ethanol,-20,1,Kit,916.03,4,6
Pres Exp 3_Plate 2,F12,Ethanol,-20,1,Kit,1189.68,5,1
Pres Exp 3_Plate 2,G11,Ethanol,-20,1,Kit,1461.21,5,2
Pres Exp 3_Plate 2,G12,Ethanol,-20,1,Kit,1779.72,5,3
Pres Exp 3_Plate 3,A4,Ethanol,-20,1,Kit,1140.93,5,4
Pres Exp 3_Plate 3,A5,Ethanol,-20,1,Kit,668.03,5,5
Pres Exp 3_Plate 3,A6,Ethanol,-20,1,Kit,1646.48,5,6
Pres Exp 3_Plate 2,C4,Ethanol,4,1,Kit,1405.72,1,1
Pres Exp 3_Plate 2,C5,Ethanol,4,1,Kit,2356.57,1,2
Pres Exp 3_Plate 2,C6,Ethanol,4,1,Kit,2151.51,1,3
Pres Exp 3_Plate 2,C7,Ethanol,4,1,Kit,2318.85,1,4
Pres Exp 3_Plate 2,C8,Ethanol,4,1,Kit,2105.23,1,5
Pres Exp 3_Plate 2,C9,Ethanol,4,1,Kit,2906.33,1,6
Pres Exp 3_Plate 2,D4,Ethanol,4,1,Kit,847.84,2,1
Pres Exp 3_Plate 2,D5,Ethanol,4,1,Kit,1401.64,2,2
